№				name    	           						description
1 					ID                  									 Уникальный идентификационный номер
2 					Summary 	    									Что? Где? И когда?
3 					STR 	            									Шаги воспроизведения
4 					Actual Result 	    		Фактический результат
5 					Expected Result  Ожидаемый результат
6 					Environment 	    			Окружение 
7 					Project 	    													Название проекта
8 					Module 	            				Компонент/модуль/юнит, в котором обнаружен дефект
9 					Build 	            									Версия сборки
10 			Severity            					Критичность/серьезность бага 
11 			Priority 	    														Приоритет бага
12 			Status 	            						Статус бага в жизненном цикле бага
13 			Author 	            					Тот, кто нашёл баг, автор
14 			Assigned to 	    				Назначение
15 		 Attachments 	    			Скриншоты, видео и пр.

